Part Num,Gender,Age,SES,Reside,Student,UCLATOT,SRP-IIITOT,SRPIII-IPM,SRPIII-CA,SRPIII-ELS,SANUTOT,N4UTOT,N4U-1,N4U-2,N4U-3,DBTOT,ABSTAIN,Property,Vandalism,Violent,Serious Delinquency
174,2,19,1,1,1,31,2.145833333,1.5625,2.1875,2.6875,10,91,45,29,17,0,1,0,0,0,0
175,2,21,3,1,1,49,2.458333333,2.4375,2.4375,2.5,12,96,71,19,6,0,0,0,0,0,0
176,2,20,5,1,1,54,2.8125,1.9375,2.875,3.625,8,100,45,36,19,4,0,1,1,0,0
177,2,19,5,1,1,50,2.729166667,2.9375,2.625,2.625,7,86,45,22,19,2,0,0,0,0,0
178,2,20,1,1,1,30,1.729166667,1.8125,1.5625,1.8125,13,75,36,24,15,0,1,0,0,0,0
179,2,20,2,1,1,36,2.5625,2.75,2.0625,2.875,8,72,34,27,11,0,1,0,0,0,0
180,2,20,4,1,1,34,2.291666667,2.0625,2.1875,2.625,6,99,52,32,15,0,1,0,0,0,0
181,2,19,2,1,1,38,2.0625,1.9375,2.1875,2.0625,5,84,42,24,18,1,0,0,0,0,0
182,2,21,5,1,1,46,2.25,1.875,2.625,2.25,8,68,30,20,18,0,1,0,0,0,0
183,2,19,2,1,1,48,1.916666667,2.0625,1.6875,2,13,57,30,18,9,4,0,4,0,0,0
184,2,20,4,1,1,49,3.083333333,3.0625,2.875,3.3125,10,94,47,29,18,5,0,1,1,0,0
185,2,18,3,1,1,41,2.25,2.0625,2.1875,2.5,10,85,39,33,13,1,0,0,0,0,0
186,2,21,1,1,1,29,1.854166667,1.9375,1.5,2.125,7,84,41,25,18,0,1,0,0,0,0
187,2,19,1,1,1,38,2.4375,2.0625,2.4375,2.8125,11,101,51,32,18,2,0,0,0,0,0
188,2,20,2,1,1,47,2.875,3.25,2.5,2.875,8,98,46,36,16,1,1,0,0,0,0
189,2,18,4,1,1,47,2.6875,2.5,2.8125,2.75,6,101,59,24,18,4,0,0,0,0,0
190,2,22,3,1,1,44,1.5625,1.25,1.5,1.9375,10,105,66,19,20,1,0,1,0,0,0
191,2,19,2,1,1,53,3.270833333,3.8125,3.5,2.5,5,108,52,34,22,1,1,0,0,0,0
192,3,21,3,1,1,31,2.520833333,2.5,2.125,2.9375,11,88,42,27,19,4,0,1,1,0,0
193,1,19,1,1,1,50,3.25,3.3125,2.25,4.1875,14,95,42,36,17,13,0,6,2,2,1
194,2,20,3,1,1,42,2.583333333,2.5625,2.5625,2.625,7,90,45,29,16,1,0,1,0,0,0
195,2,21,3,1,1,31,2.166666667,2.25,2.1875,2.0625,12,99,52,28,19,1,0,0,0,0,0
196,2,20,2,1,1,49,2.0625,2.0625,2.125,2,8,73,34,24,15,1,1,0,0,0,0
197,2,19,1,1,1,27,3.166666667,3.375,2.6875,3.4375,11,114,50,38,26,0,1,0,0,0,0
198,2,21,5,1,1,39,2.270833333,2.0625,1.8125,2.9375,6,82,41,27,14,1,0,0,0,0,0
199,2,19,2,1,1,50,2.4375,2.0625,2.3125,2.9375,14,97,46,33,18,5,0,3,0,0,0
200,2,21,4,1,1,63,2.6875,2.25,2.25,3.5625,13,120,57,44,19,2,0,0,0,0,0
201,2,34,4,1,1,53,3,2.1875,3.0625,3.75,8,123,59,43,21,4,0,1,1,0,0
202,2,21,1,1,1,77,3.458333333,3.375,2.5,4.5,18,119,56,42,21,4,0,1,0,0,0
203,2,19,2,1,1,21,1.708333333,1.25,1.875,2,9,99,53,31,15,0,1,0,0,0,0
204,2,20,1,1,1,57,2.479166667,2.625,2,2.8125,10,81,37,32,12,7,0,3,1,0,0
205,2,19,2,1,1,30,1.958333333,1.5,1.875,2.5,12,93,46,32,15,1,0,1,0,0,0
206,1,21,4,1,1,55,2.6875,2.3125,2.8125,2.9375,7,99,60,26,13,3,0,0,0,0,0
207,1,39,5,1,1,55,2.625,2.6875,2,3.1875,9,99,45,35,19,5,1,0,2,0,1
208,2,19,6,1,1,61,3.5625,3.625,4.125,2.9375,13,114,53,38,23,0,1,0,0,0,0
209,2,20,3,1,1,46,2.1875,1.75,2.1875,2.625,15,88,46,31,11,3,0,1,0,0,0
210,2,20,2,1,1,38,2.3125,2.0625,2.125,2.75,5,84,36,32,16,0,1,0,0,0,0
211,2,20,2,1,1,55,2.729166667,2.75,2.625,2.8125,13,90,38,36,16,0,1,0,0,0,0
212,2,18,3,1,1,40,2.166666667,2.3125,1.5625,2.625,8,80,36,25,19,2,0,0,0,0,0
213,2,19,3,1,1,51,2.75,2.625,2.9375,2.6875,9,90,45,31,14,2,0,1,0,0,0
214,2,20,4,1,1,35,2.291666667,2.25,1.9375,2.6875,7,79,35,28,16,5,0,1,0,0,0
215,2,25,4,1,1,49,3.604166667,3.625,3.5625,3.625,11,115,54,39,22,11,0,3,2,2,2
216,1,21,2,1,1,32,2.916666667,3.25,2.9375,2.5625,8,102,53,26,23,0,1,0,0,0,0
217,2,20,1,1,1,56,2.375,2.375,1.875,2.875,8,84,45,24,15,1,0,0,0,0,0
218,2,20,5,1,1,37,2.458333333,2.625,2.875,1.875,10,98,53,29,16,0,1,0,0,0,0
219,2,19,4,1,1,56,3.395833333,3.5625,3,3.625,17,129,59,46,24,0,1,0,0,0,0
220,1,20,3,1,1,64,3.166666667,3.5,2.8125,3.1875,16,113,48,43,22,0,1,0,0,0,0
221,2,20,3,1,1,42,1.875,1.9375,1.5625,2.125,15,83,44,22,17,0,1,0,0,0,0
222,2,22,5,1,1,72,2.520833333,2.125,2.125,3.3125,12,105,45,39,21,4,0,1,0,0,0
223,1,18,2,1,1,41,2.354166667,2.25,2.0625,2.75,13,98,48,30,20,0,1,0,0,0,0
224,1,20,7,1,1,49,2.395833333,2.8125,2.4375,1.9375,7,112,55,32,25,0,1,0,0,0,0
225,2,18,2,1,1,51,3.083333333,3.0625,3.25,2.9375,9,95,44,30,21,5,0,2,1,0,0
226,2,19,2,1,1,27,2.770833333,3.125,2,3.1875,8,85,43,26,16,5,0,2,0,0,0
227,2,21,1,1,1,43,2.416666667,2.8125,2,2.4375,7,80,37,28,15,0,1,0,0,0,0
228,2,26,3,1,1,36,2.104166667,1.8125,1.9375,2.5625,13,94,48,27,19,3,0,1,0,0,0
229,2,19,1,1,1,38,2.208333333,2.6875,1.625,2.3125,10,95,42,30,23,3,0,1,0,0,0
230,2,20,7,1,1,64,2.354166667,2,2.25,2.8125,9,86,39,33,14,2,0,0,0,0,0
231,2,21,3,1,1,67,2.25,2.4375,1.5,2.8125,8,69,37,24,8,4,0,1,0,0,0
232,2,20,1,1,1,43,2.708333333,2.6875,2.375,3.0625,10,108,49,40,19,4,0,1,0,0,0
233,2,18,7,1,1,61,1.541666667,1.6875,1.3125,1.625,6,56,24,23,9,2,1,0,0,0,0
234,2,19,4,1,1,48,2.270833333,2.25,2.25,2.3125,4,96,71,19,6,30,1,13,3,6,10
235,2,20,5,1,1,33,2.604166667,2.375,2.25,3.1875,12,115,59,34,22,3,0,0,0,0,0
